Date,Year,Month,Day,Time all food in (to match with GPS data),Enclosure,Food Description,Food Type,# Food Buckets,Temperature,Weather,# Ravens Present,Predator/Alarm Call Playback,Food at Wolf/Bear Enclosure,Two Heap Experiment,Novel Person/Object,Hunting/Culling/Construction Work,Feeding in Smaller/Separation Enclosure,# Juveniles Close By,# Juveniles on Ground,Notes
2020/01/23,2020,1,23,,Wild boar,"Bread, pellets",Bread + pellets,3,-3,1,65,0,0,0,0,0,0,NA,NA,
2020/01/24,2020,1,24,,Wild boar,"Bread, pellets",Bread + pellets,3,-5,1,50,0,0,0,1,0,0,NA,NA,New hut in enclosure - boars seem scared of it
2020/02/06,2020,2,6,,Wild boar,"Bread, pellets",Bread + pellets,3,-7,1,40,0,0,0,0,0,0,NA,NA,
2020/02/07,2020,2,7,,Wild boar,"Bread, avocadoes, tomatoes",Bread + vegetables/fruit,5,-4,1,72,0,0,0,0,0,0,NA,NA,
2020/02/10,2020,2,10,,Wild boar,"Pellets, bread, salad",Bread + pellets + vegetables/fruit,2,2,1,38,0,0,0,0,0,0,NA,NA,
2020/02/11,2020,2,11,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,3,-2,2,36,0,0,0,0,0,0,NA,NA,
2020/02/12,2020,2,12,,Wild boar,"Pellets, bread, mango",Bread + pellets + vegetables/fruit,2,2,2,15,0,0,0,0,0,0,NA,NA,
2020/02/13,2020,2,13,,Wild boar,"Pellets, bread, mango, nuts",Bread + pellets + vegetables/fruit + nuts,2,0,1,12,0,0,0,0,0,0,NA,NA,
2020/02/14,2020,2,14,,Wild boar,"Pellets, bread",Bread + pellets,2,0,3,35,0,0,0,0,0,0,NA,NA,
2020/02/15,2020,2,15,,Wild boar,"Bread, pellets, fruit",Bread + pellets + vegetables/fruit,3,2,1,45,0,0,0,0,0,0,NA,NA,
2020/02/16,2020,2,16,,Wild boar,"Bread, pellets",Bread + pellets,3,-2,1,60,0,0,0,0,0,0,NA,NA,
2020/02/17,2020,2,17,,Wild boar,"Bread, pellets",Bread + pellets,3,0,2,60,0,0,0,0,0,0,NA,NA,
2020/02/18,2020,2,18,,Wild boar,"Bread, pellets, banana, avocado",Bread + pellets + vegetables/fruit,3,2,1,55,0,0,0,0,0,0,NA,NA,
2020/02/19,2020,2,19,,Wild boar,"Bread, nuts",Bread + nuts,5,3,1,60,0,0,0,0,0,0,NA,NA,
2020/02/20,2020,2,20,,Wild boar,"Bread, pellets",Bread + pellets,4,3,5,60,0,0,0,0,0,0,NA,NA,
2020/02/21,2020,2,21,,Wild boar,"Bread, pellets, nuts, mangos",Bread + pellets + vegetables/fruit + nuts,4,-1,5,28,0,0,0,0,0,0,NA,NA,
2020/02/22,2020,2,22,,Wild boar,Bread,Bread,3,3,1,38,0,0,0,0,0,0,NA,NA,
2020/02/23,2020,2,23,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,2,5,3,31,0,0,0,0,0,0,NA,NA,
2020/02/24,2020,2,24,,Wild boar,"Bread, pellets, nuts",Bread + pellets + nuts,3,3,4,18,0,0,0,0,0,0,NA,NA,
2020/02/25,2020,2,25,,Wild boar,"Bread, pellets, nuts, avocado, kiwi, tomato",Bread + pellets + vegetables/fruit + nuts,3,3,2,42,0,0,0,0,0,0,NA,NA,
2020/02/26,2020,2,26,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,1,6,21,0,0,0,0,0,0,NA,NA,
2020/02/27,2020,2,27,,Wild boar,"Bread, nuts",Bread + nuts,4,2,1,55,0,0,0,0,0,0,NA,NA,
2020/02/28,2020,2,28,,Wild boar,"Bread, fruit",Bread + vegetables/fruit,3,0,6,60,0,0,0,0,0,0,NA,NA,
2020/02/29,2020,2,29,,Wild boar,"Bread, pellets, nuts",Bread + pellets + nuts,3,1,2,62,0,0,0,0,0,0,NA,NA,
2020/03/01,2020,3,1,,Wild boar,"Bread, pellets",Bread + pellets,2,4,2,21,0,0,0,0,0,0,NA,NA,
2020/03/02,2020,3,2,,Wild boar,"Tomatoes, bread, nuts",Bread + vegetables/fruit + nuts,2,3,1,11,0,0,0,0,0,0,NA,NA,
2020/03/03,2020,3,3,,Wild boar,"Bread, strawberries",Bread + vegetables/fruit,3,3,3,26,0,0,0,0,0,0,NA,NA,
